timestamps,TP9,AF7,AF8,TP10,Right AUX
1709720479.566,-57.617,-60.547,-52.734,-76.660,0.000
1709720479.570,-83.496,-58.105,-36.621,-100.586,0.000
1709720479.574,-93.262,-55.664,-33.691,-108.398,0.000
1709720479.577,-69.336,-61.035,-42.480,-91.309,0.000
1709720479.581,-33.691,-57.617,-39.551,-62.988,0.000
1709720479.585,-27.832,-51.270,-35.156,-55.176,0.000
1709720479.589,-58.105,-48.828,-26.855,-71.777,0.000
1709720479.593,-103.516,-54.199,-29.785,-114.258,0.000
1709720479.597,-82.520,-52.246,-34.668,-105.469,0.000
1709720479.601,-39.062,-53.223,-35.645,-62.012,0.000
1709720479.605,-46.875,-61.035,-34.668,-56.641,0.000
1709720479.609,-91.309,-62.500,-43.457,-91.309,0.000
1709720479.613,-116.211,-59.082,-43.945,-115.234,0.000
1709720479.617,-83.984,-52.246,-37.598,-86.426,0.000
1709720479.620,-34.668,-52.734,-45.410,-46.387,0.000
1709720479.624,-39.062,-60.059,-41.016,-42.969,0.000
1709720479.628,-64.941,-53.223,-29.785,-61.035,0.000
1709720479.632,-62.500,-36.621,-17.090,-65.918,0.000
1709720479.636,-57.129,-40.527,-20.020,-75.684,0.000
1709720479.640,-40.039,-52.246,-27.832,-68.848,0.000
1709720479.644,-27.344,-62.988,-35.156,-56.152,0.000
1709720479.648,-31.250,-53.223,-33.203,-48.340,0.000
1709720479.652,-70.801,-52.734,-30.762,-68.359,0.000
1709720479.655,-107.910,-74.219,-49.805,-118.164,0.000
1709720479.660,-57.129,-69.824,-46.387,-74.219,0.000
1709720479.663,-29.785,-60.547,-37.109,-34.180,0.000
1709720479.667,-63.477,-52.734,-36.621,-64.453,0.000
1709720479.671,-102.539,-48.828,-34.180,-102.051,0.000
1709720479.675,-95.703,-50.781,-35.156,-99.609,0.000
1709720479.679,-43.457,-51.270,-37.598,-56.641,0.000
1709720479.683,-31.738,-54.688,-39.551,-49.316,0.000
1709720479.687,-66.406,-60.059,-37.109,-80.078,0.000
1709720479.691,-86.914,-58.594,-29.297,-90.820,0.000
1709720479.695,-79.590,-51.758,-26.855,-79.102,0.000
1709720479.698,-73.242,-63.965,-42.969,-78.125,0.000
1709720479.702,-46.875,-69.336,-50.781,-63.965,0.000
1709720479.706,-44.434,-60.547,-39.551,-50.293,0.000
