timestamps,PPG1,PPG2,PPG3
1709721345.383,2908.000,120162.000,66247.000
1709721345.399,2909.000,120164.000,66239.000
1709721345.414,2909.000,120140.000,66240.000
1709721345.430,2906.000,120089.000,66214.000
1709721345.446,2912.000,120042.000,66193.000
1709721345.461,2911.000,120030.000,66195.000
1709721345.477,2907.000,120056.000,66182.000
1709721345.492,2909.000,120070.000,66215.000
1709721345.508,2914.000,120016.000,66189.000
1709721345.524,2911.000,120038.000,66162.000
1709721345.539,2913.000,120074.000,66195.000
1709721345.555,2913.000,120020.000,66157.000
1709721345.571,2916.000,120030.000,66145.000
1709721345.586,2916.000,119999.000,66158.000
1709721345.602,2917.000,119963.000,66144.000
1709721345.617,2917.000,119917.000,66138.000
1709721345.633,2923.000,120046.000,66142.000
1709721345.649,2917.000,120030.000,66137.000
1709721345.664,2918.000,120016.000,66145.000
1709721345.680,2924.000,120059.000,66121.000
1709721345.696,2921.000,120009.000,66145.000
1709721345.711,2922.000,120064.000,66121.000
1709721345.727,2925.000,120015.000,66099.000
1709721345.742,2923.000,120051.000,66101.000
1709721345.758,2923.000,120041.000,66080.000
1709721345.774,2927.000,120052.000,66101.000
1709721345.789,2928.000,120038.000,66107.000
1709721345.805,2926.000,120099.000,66121.000
1709721345.821,2930.000,120142.000,66113.000
1709721345.836,2940.000,120097.000,66099.000
1709721345.852,2930.000,120097.000,66107.000
1709721345.867,2933.000,120111.000,66098.000
1709721345.883,2936.000,120088.000,66123.000
1709721345.899,2935.000,120157.000,66124.000
1709721345.914,2938.000,120140.000,66132.000
1709721345.930,2935.000,120241.000,66140.000
1709721345.946,2939.000,120219.000,66126.000
1709721345.961,2942.000,120274.000,66154.000
1709721345.977,2943.000,120291.000,66145.000
1709721345.992,2943.000,120321.000,66150.000
1709721346.008,2946.000,120268.000,66129.000
1709721346.024,2940.000,120313.000,66146.000
1709721346.039,2947.000,120348.000,66164.000
1709721346.055,2955.000,120348.000,66155.000
1709721346.071,2947.000,120361.000,66139.000
1709721346.086,2958.000,120409.000,66159.000
1709721346.102,2962.000,120357.000,66162.000
1709721346.117,2958.000,120362.000,66170.000
1709721346.133,2957.000,120365.000,66176.000
1709721346.149,2958.000,120454.000,66190.000
1709721346.164,2965.000,120474.000,66174.000
1709721346.180,2961.000,120509.000,66210.000
1709721346.196,2958.000,120491.000,66195.000
1709721346.211,2963.000,120441.000,66174.000
1709721346.227,2958.000,120437.000,66173.000
1709721346.242,2958.000,120370.000,66162.000
1709721346.258,2957.000,120348.000,66160.000
1709721346.274,2954.000,120358.000,66140.000
1709721346.289,2954.000,120289.000,66146.000
1709721346.305,2953.000,120366.000,66141.000
1709721346.321,2952.000,120324.000,66115.000
1709721346.336,2957.000,120298.000,66137.000
1709721346.352,2958.000,120268.000,66117.000
1709721346.367,2951.000,120276.000,66104.000
1709721346.383,2947.000,120321.000,66121.000
1709721346.399,2951.000,120220.000,66106.000
1709721346.414,2951.000,120230.000,66137.000
1709721346.430,2951.000,120221.000,66079.000
1709721346.446,2948.000,120223.000,66079.000
1709721346.461,2952.000,120213.000,66087.000
1709721346.477,2952.000,120278.000,66095.000
1709721346.492,2958.000,120253.000,66096.000
1709721346.508,2950.000,120245.000,66094.000
1709721346.524,2952.000,120292.000,66074.000
1709721346.539,2952.000,120258.000,66074.000
1709721346.555,2953.000,120275.000,66081.000
1709721346.571,2955.000,120230.000,66082.000
1709721346.586,2954.000,120216.000,66076.000
1709721346.602,2956.000,120236.000,66055.000
1709721346.617,2956.000,120313.000,66075.000
1709721346.633,2957.000,120233.000,66076.000
1709721346.649,2954.000,120245.000,66048.000
1709721346.664,2955.000,120234.000,66033.000
1709721346.680,2954.000,120305.000,66061.000
1709721346.696,2955.000,120300.000,66040.000
1709721346.711,2960.000,120342.000,66082.000
1709721346.727,2958.000,120349.000,66078.000
1709721346.742,2956.000,120346.000,66065.000
1709721346.758,2959.000,120343.000,66058.000
1709721346.774,2961.000,120368.000,66066.000
1709721346.789,2954.000,120380.000,66046.000
1709721346.805,2962.000,120394.000,66072.000
1709721346.821,2963.000,120405.000,66058.000
1709721346.836,2965.000,120371.000,66055.000
1709721346.852,2964.000,120385.000,66058.000
1709721346.867,2967.000,120418.000,66075.000
1709721346.883,2969.000,120425.000,66075.000
1709721346.899,2970.000,120481.000,66102.000
1709721346.914,2965.000,120452.000,66084.000
1709721346.930,2971.000,120504.000,66110.000
1709721346.946,2974.000,120535.000,66100.000
1709721346.961,2974.000,120518.000,66109.000
1709721346.977,2981.000,120561.000,66136.000
1709721346.992,2974.000,120539.000,66124.000
1709721347.008,2979.000,120550.000,66132.000
1709721347.024,2976.000,120598.000,66142.000
1709721347.039,2979.000,120612.000,66150.000
1709721347.055,2986.000,120612.000,66155.000
1709721347.071,2975.000,120652.000,66165.000
1709721347.086,2981.000,120645.000,66160.000
1709721347.102,2980.000,120723.000,66139.000
1709721347.117,2989.000,120708.000,66143.000
1709721347.133,2987.000,120704.000,66184.000
1709721347.149,2986.000,120717.000,66182.000
1709721347.164,2989.000,120721.000,66173.000
1709721347.180,2982.000,120718.000,66132.000
1709721347.196,2981.000,120729.000,66143.000
1709721347.211,2985.000,120696.000,66144.000
1709721347.227,2980.000,120634.000,66138.000
1709721347.242,2976.000,120665.000,66138.000
1709721347.258,2973.000,120649.000,66140.000
1709721347.274,2984.000,120614.000,66124.000
1709721347.289,2972.000,120635.000,66121.000
1709721347.305,2977.000,120590.000,66086.000
1709721347.321,2976.000,120626.000,66117.000
1709721347.336,2975.000,120602.000,66114.000
1709721347.352,2971.000,120583.000,66120.000
1709721347.367,2972.000,120575.000,66090.000
1709721347.383,2974.000,120590.000,66113.000
1709721347.399,2973.000,120595.000,66105.000
1709721347.414,2980.000,120570.000,66086.000
1709721347.430,2978.000,120571.000,66113.000
1709721347.446,2974.000,120564.000,66133.000
1709721347.461,2975.000,120584.000,66099.000
1709721347.477,2979.000,120636.000,66077.000
1709721347.492,2975.000,120573.000,66108.000
1709721347.508,2975.000,120619.000,66085.000
1709721347.524,2978.000,120615.000,66086.000
1709721347.539,2983.000,120574.000,66081.000
1709721347.555,2983.000,120594.000,66105.000
1709721347.571,2977.000,120580.000,66064.000
1709721347.586,2980.000,120614.000,66089.000
1709721347.602,2983.000,120627.000,66127.000
1709721347.617,2976.000,120626.000,66075.000
1709721347.633,2985.000,120628.000,66057.000
1709721347.649,2982.000,120645.000,66071.000
1709721347.664,2984.000,120675.000,66069.000
1709721347.680,2990.000,120637.000,66058.000
1709721347.696,2986.000,120705.000,66088.000
1709721347.711,2987.000,120746.000,66096.000
1709721347.727,2984.000,120683.000,66094.000
1709721347.742,2983.000,120683.000,66068.000
1709721347.758,2991.000,120724.000,66109.000
1709721347.774,2989.000,120757.000,66109.000
1709721347.789,2991.000,120744.000,66130.000
1709721347.805,2994.000,120722.000,66113.000
1709721347.821,2991.000,120798.000,66102.000
1709721347.836,2992.000,120758.000,66123.000
1709721347.852,2990.000,120758.000,66108.000
1709721347.867,2995.000,120829.000,66149.000
1709721347.883,2999.000,120798.000,66130.000
1709721347.899,3000.000,120805.000,66143.000
1709721347.914,2999.000,120856.000,66136.000
1709721347.930,2999.000,120887.000,66148.000
1709721347.946,3003.000,120860.000,66165.000
1709721347.961,3006.000,120876.000,66168.000
1709721347.977,3007.000,120865.000,66149.000
1709721347.992,3004.000,120959.000,66141.000
1709721348.008,3007.000,120954.000,66139.000
1709721348.024,3017.000,120979.000,66159.000
1709721348.039,3016.000,120924.000,66151.000
1709721348.055,3017.000,120961.000,66150.000
1709721348.071,3017.000,120983.000,66161.000
1709721348.086,3022.000,120988.000,66180.000
1709721348.102,3015.000,120971.000,66183.000
1709721348.117,3016.000,120982.000,66195.000
1709721348.133,3007.000,120952.000,66170.000
1709721348.149,3009.000,120958.000,66164.000
1709721348.164,3011.000,120950.000,66146.000
1709721348.180,3003.000,120984.000,66165.000
1709721348.196,3009.000,120854.000,66139.000
1709721348.211,3003.000,120933.000,66136.000
1709721348.227,3004.000,120920.000,66122.000
1709721348.242,3004.000,120886.000,66147.000
1709721348.258,3009.000,120883.000,66186.000
1709721348.274,3005.000,120878.000,66156.000
1709721348.289,3005.000,120879.000,66146.000
1709721348.305,3004.000,120925.000,66127.000
1709721348.321,3005.000,120932.000,66143.000
1709721348.336,3008.000,120881.000,66150.000
1709721348.352,3008.000,120902.000,66112.000
1709721348.367,3002.000,120903.000,66129.000
1709721348.383,3001.000,120914.000,66098.000
1709721348.399,2999.000,120886.000,66135.000
1709721348.414,3007.000,120874.000,66132.000
1709721348.430,3003.000,120927.000,66145.000
1709721348.446,3011.000,120881.000,66127.000
1709721348.461,3005.000,120962.000,66104.000
1709721348.477,3006.000,120893.000,66135.000
1709721348.492,3009.000,120941.000,66145.000
1709721348.508,3013.000,120912.000,66126.000
1709721348.524,3011.000,120973.000,66138.000
1709721348.539,3009.000,120906.000,66112.000
1709721348.555,3012.000,120886.000,66116.000
1709721348.571,3009.000,120943.000,66130.000
1709721348.586,3009.000,120899.000,66138.000
1709721348.602,3010.000,120909.000,66133.000
1709721348.617,3013.000,120975.000,66144.000
1709721348.633,3015.000,120913.000,66122.000
1709721348.649,3017.000,120946.000,66093.000
1709721348.664,3018.000,120984.000,66142.000
1709721348.680,3012.000,120995.000,66120.000
1709721348.696,3010.000,121018.000,66154.000
1709721348.711,3018.000,120992.000,66154.000
1709721348.727,3017.000,120955.000,66133.000
1709721348.742,3024.000,121004.000,66157.000
1709721348.758,3024.000,120974.000,66131.000
1709721348.774,3026.000,121006.000,66110.000
1709721348.789,3019.000,121040.000,66174.000
1709721348.805,3024.000,120975.000,66143.000
1709721348.821,3027.000,121038.000,66157.000
1709721348.836,3025.000,121041.000,66145.000
1709721348.852,3028.000,121093.000,66145.000
1709721348.867,3027.000,121101.000,66160.000
1709721348.883,3034.000,121134.000,66201.000
1709721348.899,3034.000,121136.000,66190.000
1709721348.914,3038.000,121055.000,66151.000
1709721348.930,3043.000,121162.000,66177.000
1709721348.946,3037.000,121174.000,66149.000
1709721348.961,3040.000,121142.000,66185.000
1709721348.977,3036.000,121140.000,66176.000
1709721348.992,3040.000,121146.000,66154.000
1709721349.008,3036.000,121083.000,66144.000
1709721349.024,3034.000,121034.000,66144.000
1709721349.039,3027.000,121023.000,66124.000
1709721349.055,3026.000,121073.000,66134.000
1709721349.071,3026.000,120971.000,66149.000
1709721349.086,3027.000,120989.000,66119.000
1709721349.102,3029.000,120944.000,66140.000
1709721349.117,3030.000,120970.000,66117.000
1709721349.133,3026.000,120943.000,66134.000
1709721349.149,3029.000,120962.000,66143.000
1709721349.164,3029.000,120904.000,66147.000
1709721349.180,3021.000,120881.000,66115.000
1709721349.196,3027.000,120929.000,66122.000
1709721349.211,3041.000,120840.000,66129.000
1709721349.227,3031.000,120947.000,66127.000
1709721349.242,3033.000,120925.000,66091.000
1709721349.258,3033.000,120886.000,66138.000
1709721349.274,3033.000,120842.000,66082.000
1709721349.289,3032.000,120844.000,66097.000
1709721349.305,3033.000,120824.000,66089.000
1709721349.321,3029.000,120832.000,66099.000
1709721349.336,3030.000,120912.000,66116.000
1709721349.352,3034.000,120873.000,66076.000
1709721349.367,3033.000,120808.000,66089.000
1709721349.383,3032.000,120866.000,66091.000
1709721349.399,3030.000,120830.000,66055.000
1709721349.414,3035.000,120861.000,66092.000
1709721349.430,3034.000,120857.000,66084.000
1709721349.446,3038.000,120870.000,66069.000
1709721349.461,3035.000,120821.000,66057.000
1709721349.477,3035.000,120798.000,66072.000
1709721349.492,3035.000,120856.000,66058.000
1709721349.508,3037.000,120831.000,66060.000
1709721349.524,3040.000,120860.000,66076.000
1709721349.539,3040.000,120813.000,66074.000
1709721349.555,3039.000,120893.000,66049.000
1709721349.571,3037.000,120896.000,66068.000
1709721349.586,3041.000,120899.000,66046.000
1709721349.602,3035.000,120834.000,66055.000
1709721349.617,3044.000,120892.000,66080.000
1709721349.633,3047.000,120923.000,66059.000
1709721349.649,3043.000,120899.000,66062.000
1709721349.664,3046.000,120890.000,66067.000
1709721349.680,3047.000,120898.000,66043.000
1709721349.696,3048.000,120926.000,66103.000
1709721349.711,3054.000,120958.000,66088.000
1709721349.727,3049.000,121006.000,66080.000
1709721349.742,3055.000,120972.000,66103.000
1709721349.758,3063.000,120942.000,66096.000
1709721349.774,3054.000,120989.000,66124.000
1709721349.789,3066.000,120953.000,66109.000
1709721349.805,3059.000,120939.000,66094.000
1709721349.821,3068.000,120944.000,66089.000
1709721349.836,3058.000,120935.000,66071.000
1709721349.852,3059.000,120846.000,66091.000
1709721349.867,3056.000,120834.000,66078.000
1709721349.883,3049.000,120814.000,66070.000
1709721349.899,3051.000,120821.000,66059.000
1709721349.914,3049.000,120719.000,66036.000
1709721349.930,3046.000,120709.000,66023.000
1709721349.946,3047.000,120706.000,66021.000
1709721349.961,3044.000,120646.000,66012.000
1709721349.977,3049.000,120620.000,65995.000
1709721349.992,3049.000,120564.000,65976.000
1709721350.008,3047.000,120495.000,65946.000
1709721350.024,3037.000,120522.000,65965.000
1709721350.039,3038.000,120503.000,65974.000
1709721350.055,3036.000,120475.000,65958.000
1709721350.071,3040.000,120503.000,65964.000
1709721350.086,3031.000,120517.000,65924.000
1709721350.102,3035.000,120464.000,65924.000
